"pid","hid","age","sex","n.samples","wave","reporting.day","n.contact.total","n.loc.group","n.contact.0-4","n.contact.5-19","n.contact.20-39","n.contact.40-64","n.contact.65+"
954,666,82,"M",4,"R1","Wednesday",17,"2",0,0,0,0,17
955,667,63,"F",2,"R1","Wednesday",7,"1",0,1,2,4,0
956,668,74,"M",4,"R1","Wednesday",9,"3",0,0,3,5,1
957,669,55,"F",4,"R1","Wednesday",4,"1",0,0,3,1,0
958,669,38,"M",1,"R1","Wednesday",7,"2",0,0,5,2,0
959,670,61,"F",2,"R1","Wednesday",26,"1",0,0,0,25,1
960,671,71,"F",4,"R1","Wednesday",25,"4",0,0,3,6,16
961,672,68,"M",2,"R1","Wednesday",5,"1",0,0,0,4,1
962,673,60,"F",1,"R1","Wednesday",11,"2",1,1,6,2,1
963,674,64,"F",3,"R1","Wednesday",1,"0",0,0,0,0,1
964,675,43,"F",3,"R1","Wednesday",1,"0",0,0,0,0,1
965,676,58,"F",4,"R1","Wednesday",2,"1",0,0,0,2,0
966,677,27,"F",3,"R1","Wednesday",8,"1",0,0,7,1,0
967,678,72,"M",3,"R1","Wednesday",3,"1",0,0,1,1,1
968,679,36,"F",3,"R1","Thursday",11,"1",0,0,4,6,1
969,680,64,"M",1,"R1","Thursday",3,"0",0,0,1,2,0
970,681,21,"F",3,"R1","Thursday",15,"1",0,4,10,1,0
971,681,47,"F",2,"R1","Thursday",7,"1",1,0,3,3,0
972,682,51,"M",4,"R1","Thursday",4,"1",0,0,0,4,0
973,683,85,"F",2,"R1","Thursday",1,"1",0,0,1,0,0
974,683,64,"F",2,"R1","Thursday",4,"0",0,0,0,4,0
975,684,60,"M",2,"R1","Thursday",30,"4",0,0,1,29,0
976,685,65,"F",3,"R1","Thursday",6,"2",0,0,2,2,2
977,686,60,"F",3,"R1","Thursday",1,"1",0,0,0,1,0
978,687,68,"F",2,"R1","Thursday",3,"0",0,0,0,0,3
979,688,49,"F",2,"R1","Thursday",8,"1",0,0,2,5,1
980,689,17,"F",4,"R1","Thursday",43,"1",0,40,0,2,1
981,690,63,"M",1,"R1","Thursday",14,"6+",0,0,3,10,1
982,691,33,"M",1,"R1","Thursday",5,"3",0,0,1,2,2
983,691,67,"F",4,"R1","Thursday",3,"1",1,0,0,0,2
984,691,70,"M",4,"R1","Thursday",8,"2",1,1,0,0,6
985,692,45,"F",4,"R1","Thursday",24,"1",0,16,6,2,0
986,692,46,"M",1,"R1","Thursday",16,"5",0,1,1,14,0
987,693,60,"F",2,"R1","Thursday",5,"1",2,0,1,0,2
988,694,60,"M",1,"R1","Thursday",18,"1",0,2,0,16,0
989,695,45,"M",4,"R1","Thursday",2,"2",0,1,0,0,1
990,696,26,"F",4,"R1","Thursday",9,"2",2,0,4,2,1
991,697,45,"F",2,"R1","Thursday",2,"1",0,0,1,0,1
992,698,48,"F",1,"R1","Thursday",10,"6+",0,0,1,7,2
993,699,59,"F",1,"R1","Friday",12,"5",1,0,6,4,1
994,700,62,"F",2,"R1","Friday",4,"2",1,0,1,1,1
995,700,67,"M",2,"R1","Friday",5,"1",0,0,0,1,4
996,701,59,"F",1,"R1","Friday",204,"3",0,0,201,3,0
997,702,20,"M",3,"R1","Friday",3,"1",0,0,1,2,0
998,702,52,"F",1,"R1","Friday",17,"3",0,0,2,14,1
999,703,60,"M",3,"R1","Friday",23,"6+",0,0,15,6,2
1000,704,75,"M",1,"R1","Friday",1,"1",0,0,0,0,1
1001,705,51,"M",4,"R1","Friday",53,"4",0,40,5,8,0
1002,706,76,"M",1,"R1","Friday",9,"1",0,0,0,4,5
1003,707,55,"F",3,"R1","Friday",10,"2",1,0,3,6,0
1004,708,32,"M",1,"R1","Friday",9,"5",0,0,7,1,1
1005,709,31,"M",1,"R1","Friday",13,"4",0,0,12,1,0
1006,710,38,"F",2,"R1","Friday",8,"1",0,1,5,1,1
1007,710,61,"M",4,"R1","Friday",2,"0",0,1,1,0,0
1008,711,38,"F",4,"R1","Friday",11,"3",0,0,6,5,0
1009,712,33,"M",4,"R1","Friday",11,"1",1,0,8,2,0
1010,713,49,"F",2,"R1","Friday",18,"3",0,0,3,15,0
1011,714,54,"M",3,"R1","Friday",16,"2",0,0,6,10,0
1012,715,47,"M",3,"R1","Friday",2,"0",0,0,2,0,0
1013,716,35,"F",2,"R1","Friday",2,"1",0,1,0,1,0
1014,716,42,"M",2,"R1","Friday",16,"1",0,0,16,0,0
1015,717,63,"M",4,"R1","Friday",4,"1",0,0,1,3,0
1016,718,57,"F",1,"R1","Friday",10,"3",3,0,2,5,0
1017,719,57,"M",4,"R1","Friday",7,"1",0,1,2,4,0
1018,720,75,"F",2,"R1","Friday",4,"0",0,0,0,2,2
1019,721,40,"F",3,"R1","Friday",11,"2",0,6,2,3,0
1020,722,47,"M",4,"R1","Friday",21,"4",0,1,10,9,1
1021,723,69,"M",1,"R1","Saturday",17,"2",0,0,1,16,0
1022,724,33,"F",2,"R1","Saturday",19,"6+",0,0,12,6,1
1023,725,49,"F",3,"R1","Saturday",21,"6+",0,0,2,18,1
1024,726,44,"M",3,"R1","Saturday",14,"3",0,2,7,3,2
1025,727,56,"F",1,"R1","Saturday",2,"2",0,0,1,1,0
1026,728,70,"M",4,"R1","Saturday",13,"1",0,0,0,9,4
1027,729,62,"M",4,"R1","Saturday",6,"2",0,0,0,6,0
1028,730,9,"M",2,"R1","Saturday",1,"0",0,0,1,0,0
1029,730,31,"F",1,"R1","Saturday",1,"0",0,1,0,0,0
1030,731,44,"F",4,"R1","Saturday",6,"2",0,0,1,5,0
1031,731,46,"M",1,"R1","Saturday",5,"2",0,0,1,4,0
1032,732,29,"M",4,"R1","Saturday",4,"1",0,0,3,1,0
1033,733,12,"M",3,"R1","Saturday",28,"3",0,20,8,0,0
1034,733,35,"F",3,"R1","Saturday",1,"0",0,1,0,0,0
1035,734,61,"F",2,"R1","Saturday",10,"2",0,0,3,7,0
1036,735,75,"M",4,"R1","Saturday",1,"0",0,0,0,0,1
1037,736,51,"M",4,"R1","Sunday",1,"0",0,0,0,1,0
1038,737,NA,"F",1,"R1","Sunday",8,"1",0,0,2,5,1
1039,738,62,"F",4,"R1","Sunday",17,"3",1,0,3,8,5
1040,739,76,"M",1,"R1","Sunday",2,"2",0,1,0,0,1
1041,740,51,"M",2,"R1","Sunday",4,"1",0,0,0,4,0
1042,740,55,"F",2,"R1","Sunday",7,"1",0,0,0,7,0
1043,741,12,"M",4,"R1","Sunday",2,"1",0,0,2,0,0
1044,741,38,"F",3,"R1","Sunday",1,"0",0,1,0,0,0
1045,742,49,"F",3,"R1","Sunday",3,"0",0,1,0,2,0
1046,743,45,"F",4,"R1","Sunday",36,"3",0,2,21,11,2
1047,744,52,"F",2,"R1","Sunday",7,"2",0,0,0,7,0
1048,745,57,"F",3,"R1","Sunday",3,"1",0,0,1,2,0
1049,746,60,"F",3,"R1","Sunday",4,"1",0,0,0,4,0
1050,747,32,"M",1,"R1","Monday",7,"3",0,0,2,5,0
1051,747,65,"F",3,"R1","Monday",5,"1",0,0,2,3,0
1052,748,58,"F",4,"R1","Monday",15,"2",0,0,3,12,0
1053,749,44,"F",4,"R1","Monday",117,"2",0,92,21,4,0
1054,749,61,"M",4,"R1","Monday",5,"1",0,2,1,2,0
1055,750,17,"M",3,"R1","Monday",36,"3",0,26,3,7,0
1056,750,47,"F",3,"R1","Monday",16,"4",0,1,5,10,0
1057,751,56,"M",1,"R1","Monday",10,"5",0,0,2,8,0
1058,752,47,"M",1,"R1","Monday",6,"2",0,1,0,5,0
1059,753,58,"F",2,"R1","Monday",12,"4",2,0,4,6,0
1060,754,72,"F",2,"R1","Monday",2,"1",0,0,0,1,1
1061,755,48,"F",3,"R1","Monday",59,"2",0,0,6,51,2
1062,756,47,"F",4,"R1","Monday",7,"3",0,0,4,2,1
1063,757,52,"F",3,"R1","Monday",2,"2",0,0,0,2,0
1064,757,64,"M",1,"R1","Monday",3,"2",0,0,1,2,0
1065,758,53,"F",2,"R1","Monday",44,"4",26,0,6,12,0
1066,759,59,"F",4,"R1","Monday",0,NA,0,0,0,0,0
94,90,53,"F",1,"R2","Tuesday",8,"1",0,0,4,4,0
230,160,47,"F",2,"R2","Tuesday",6,"2",0,1,1,3,1
315,208,28,"M",1,"R2","Tuesday",12,"3",0,0,5,7,0
348,226,63,"F",3,"R2","Tuesday",251,"1",0,25,50,125,51
369,241,41,"F",1,"R2","Tuesday",3,"2",0,0,0,2,1
401,263,64,"F",4,"R2","Tuesday",9,"1",0,0,0,4,5
524,345,56,"M",2,"R2","Tuesday",2,"0",0,1,0,1,0
525,345,58,"F",3,"R2","Tuesday",12,"1",0,1,0,11,0
568,376,58,"F",1,"R2","Tuesday",9,"2",0,0,0,9,0
578,384,64,"M",4,"R2","Tuesday",5,"1",0,1,1,3,0
198,142,64,"M",4,"R2","Thursday",3,"0",0,2,0,1,0
203,145,27,"F",3,"R2","Thursday",11,"2",0,0,9,2,0
319,211,54,"F",2,"R2","Thursday",4,"1",0,1,0,3,0
320,211,54,"M",2,"R2","Thursday",6,"2",0,1,0,5,0
671,458,74,"F",4,"R2","Thursday",2,"1",0,0,0,1,1
99,93,50,"F",3,"R2","Friday",4,"1",0,2,0,2,0
484,319,71,"M",3,"R2","Friday",6,"2",0,0,1,4,1
736,510,59,"M",4,"R2","Friday",6,"1",0,1,1,4,0
739,513,11,"F",3,"R2","Friday",108,"1",1,81,23,2,1
740,513,36,"F",2,"R2","Friday",7,"1",1,1,2,2,1
1067,197,31,"M",1,"R2","Saturday",3,"1",0,0,1,2,0
295,197,57,"F",1,"R2","Saturday",6,"2",0,0,2,4,0
409,268,14,"M",2,"R2","Saturday",4,"1",0,0,0,4,0
411,268,48,"F",2,"R2","Saturday",6,"2",0,2,1,3,0
450,294,53,"M",2,"R2","Saturday",11,"2",0,0,1,7,3
488,321,75,"F",1,"R2","Saturday",2,"3",0,0,1,0,1
640,437,71,"F",3,"R2","Saturday",23,"2",0,0,0,2,21
661,451,21,"F",1,"R2","Saturday",24,"2",0,1,16,7,0
689,469,65,"F",3,"R2","Saturday",5,"1",0,2,2,1,0
695,475,47,"F",4,"R2","Saturday",3,"0",0,2,0,1,0
192,139,59,"M",2,"R2","Sunday",11,"4",0,2,3,4,2
429,281,45,"M",2,"R2","Sunday",12,"2",0,4,3,4,1
478,315,34,"F",1,"R2","Sunday",3,"0",0,0,2,1,0
479,315,35,"F",3,"R2","Sunday",25,"6+",2,1,19,3,0
820,575,53,"F",1,"R2","Sunday",15,"6+",0,0,10,4,1
636,433,66,"F",3,"R2","Sunday",4,"1",0,0,0,3,1
1068,433,72,"M",1,"R2","Sunday",1,"0",0,0,0,0,1
1069,465,13,"F",3,"R2","Sunday",9,"2",0,4,2,3,0
683,465,35,"F",4,"R2","Sunday",14,"6+",0,2,4,8,0
684,465,41,"M",3,"R2","Sunday",14,"6+",0,2,10,2,0
719,494,56,"F",4,"R2","Sunday",9,"3",0,0,2,7,0
851,604,22,"F",1,"R2","Sunday",16,"1",0,10,4,2,0
753,524,15,"F",4,"R2","Sunday",8,"2",0,7,0,1,0
754,524,47,"F",2,"R2","Sunday",4,"2",0,1,0,3,0
82,82,51,"F",4,"R2","Monday",10,"4",0,1,3,4,2
110,98,71,"M",3,"R2","Monday",3,"0",0,0,1,1,1
111,98,73,"F",4,"R2","Monday",7,"1",0,0,1,1,5
1070,103,20,"M",1,"R2","Monday",10,"2",0,1,7,2,0
159,119,57,"F",2,"R2","Monday",4,"1",0,0,0,3,1
214,150,36,"F",1,"R2","Monday",18,"3",1,0,4,11,2
215,150,44,"M",1,"R2","Monday",6,"2",1,0,4,1,0
271,186,38,"F",4,"R2","Monday",8,"2",0,1,1,5,1
1071,186,59,"F",4,"R2","Monday",7,"1",0,0,4,3,0
298,199,64,"F",3,"R2","Monday",1,"0",0,0,1,0,0
307,204,43,"F",4,"R2","Monday",7,"4",0,0,4,3,0
308,204,48,"M",2,"R2","Monday",7,"2",0,0,2,5,0
806,562,62,"M",4,"R2","Monday",15,"2",0,0,0,1,14
360,235,52,"F",3,"R2","Monday",16,"1",2,0,4,10,0
361,235,58,"M",1,"R2","Monday",8,"2",2,0,3,3,0
421,276,35,"F",3,"R2","Monday",4,"1",0,0,2,0,2
466,306,48,"F",1,"R2","Monday",3,"0",0,1,1,1,0
565,374,44,"F",2,"R2","Monday",10,"2",0,0,4,4,2
646,442,46,"F",2,"R2","Monday",21,"2",0,0,5,16,0
681,464,50,"F",4,"R2","Monday",13,"2",0,0,1,11,1
242,168,65,"F",1,"R2","Tuesday",7,"1",0,0,6,0,1
311,206,21,"F",3,"R2","Tuesday",8,"1",0,0,3,5,0
1072,218,46,"M",4,"R2","Tuesday",4,"2",0,2,0,2,0
343,224,37,"M",1,"R2","Tuesday",11,"2",2,1,7,1,0
363,237,52,"F",2,"R2","Tuesday",9,"2",0,0,1,6,2
375,245,53,"F",1,"R2","Tuesday",63,"3",0,35,22,6,0
412,269,45,"M",1,"R2","Tuesday",6,"5",0,2,2,2,0
1073,293,48,"F",1,"R2","Tuesday",8,"2",0,1,4,3,0
454,297,77,"M",4,"R2","Tuesday",5,"2",0,0,2,2,1
500,329,40,"F",1,"R2","Tuesday",11,"3",0,4,0,7,0
1074,406,11,"M",4,"R2","Tuesday",41,"2",0,38,0,3,0
1075,406,13,"M",3,"R2","Tuesday",32,"2",0,32,0,0,0
602,406,44,"M",4,"R2","Tuesday",7,"3",0,2,0,5,0
633,430,58,"F",1,"R2","Tuesday",5,"1",0,0,3,2,0
667,455,14,"F",2,"R2","Tuesday",12,"4",0,1,1,9,1
668,455,48,"F",2,"R2","Tuesday",6,"2",0,2,0,3,1
711,487,52,"M",2,"R2","Tuesday",17,"5",0,0,2,15,0
96,92,29,"M",2,"R2","Wednesday",11,"1",0,0,3,8,0
120,101,51,"F",1,"R2","Wednesday",5,"1",0,0,2,3,0
190,138,78,"M",3,"R2","Wednesday",7,"4",0,0,0,5,2
221,154,63,"M",2,"R2","Wednesday",2,"0",0,0,1,1,0
258,180,38,"M",4,"R2","Wednesday",7,"2",1,0,3,3,0
1076,219,60,"M",1,"R2","Wednesday",1,"0",0,0,0,1,0
1077,333,13,"M",3,"R2","Wednesday",36,"3",0,21,8,7,0
870,333,17,"M",2,"R2","Wednesday",33,"2",0,21,6,6,0
1078,333,46,"F",4,"R2","Wednesday",15,"5",0,2,4,9,0
506,333,53,"M",4,"R2","Wednesday",7,"2",0,2,1,4,0
824,579,56,"F",3,"R2","Wednesday",9,"1",0,1,4,2,2
1079,582,30,"F",4,"R2","Wednesday",6,"2",0,0,4,1,1
1080,428,37,"F",4,"R2","Wednesday",6,"1",0,0,1,4,1
832,586,70,"F",2,"R2","Wednesday",6,"5",0,0,1,2,3
101,94,10,"M",4,"R2","Friday",8,"3",0,7,0,1,0
103,94,48,"M",3,"R2","Friday",3,"1",0,2,0,1,0
163,123,19,"M",3,"R2","Friday",23,"4",0,21,1,1,0
165,123,50,"M",2,"R2","Friday",9,"4",0,1,1,5,2
166,123,51,"F",2,"R2","Friday",11,"3",0,1,4,4,2
344,225,13,"M",2,"R2","Friday",6,"3",0,5,0,1,0
345,225,15,"M",4,"R2","Friday",5,"3",0,4,0,1,0
346,225,47,"F",2,"R2","Friday",6,"3",0,2,0,4,0
430,282,50,"F",4,"R2","Friday",14,"3",1,0,1,11,1
627,424,61,"M",1,"R2","Friday",12,"2",0,0,1,11,0
125,104,56,"F",4,"R2","Tuesday",11,"2",0,0,4,7,0
126,104,57,"M",3,"R2","Tuesday",4,"3",0,0,2,2,0
145,112,45,"M",3,"R2","Tuesday",25,"2",0,6,8,9,2
146,112,76,"F",2,"R2","Tuesday",12,"3",0,0,3,3,6
170,126,74,"F",2,"R2","Tuesday",5,"2",0,0,1,3,1
183,135,61,"F",1,"R2","Tuesday",2,"1",0,0,1,1,0
803,561,15,"M",4,"R2","Tuesday",62,"1",0,60,0,2,0
804,561,50,"F",3,"R2","Tuesday",2,"0",0,1,0,1,0
309,205,60,"F",1,"R2","Tuesday",12,"4",0,0,0,10,2
310,205,68,"M",4,"R2","Tuesday",3,"4",0,0,0,2,1
351,229,75,"F",2,"R2","Tuesday",0,NA,0,0,0,0,0
373,244,72,"F",1,"R2","Tuesday",7,"2",0,1,0,4,2
374,244,75,"M",2,"R2","Tuesday",25,"6+",0,1,4,14,6
403,265,16,"M",4,"R2","Tuesday",21,"5",0,17,0,2,2
405,265,50,"M",2,"R2","Tuesday",28,"5",0,2,10,12,4
435,285,70,"F",2,"R2","Tuesday",3,"2",0,0,0,3,0
436,286,42,"F",4,"R2","Tuesday",32,"2",0,25,5,2,0
437,286,42,"F",4,"R2","Tuesday",6,"1",0,1,1,4,0
512,336,65,"M",3,"R2","Tuesday",13,"4",0,0,4,6,3
549,362,84,"F",4,"R2","Tuesday",6,"0",0,0,0,0,6
551,364,65,"F",2,"R2","Tuesday",5,"1",1,0,1,2,1
552,364,69,"M",4,"R2","Tuesday",1,"1",0,0,0,0,1
130,106,41,"F",3,"R2","Wednesday",15,"2",3,3,5,4,0
156,118,16,"M",3,"R2","Wednesday",37,"1",0,35,0,2,0
234,164,16,"F",4,"R2","Wednesday",4,"1",0,2,1,1,0
236,164,56,"F",3,"R2","Wednesday",5,"1",0,1,2,2,0
237,165,37,"F",4,"R2","Wednesday",22,"2",0,0,11,10,1
238,165,68,"F",1,"R2","Wednesday",26,"5",0,0,3,18,5
250,174,54,"M",4,"R2","Wednesday",27,"2",0,20,5,2,0
287,194,18,"M",2,"R2","Wednesday",1,"0",0,0,0,1,0
289,194,54,"F",4,"R2","Wednesday",1,"0",0,1,0,0,0
332,216,60,"M",2,"R2","Wednesday",4,"2",0,0,1,3,0
353,231,64,"F",4,"R2","Wednesday",1,"0",0,0,1,0,0
358,234,53,"F",4,"R2","Wednesday",14,"3",0,0,6,8,0
359,234,56,"M",1,"R2","Wednesday",13,"4",0,0,4,3,6
560,370,73,"F",4,"R2","Wednesday",3,"0",0,0,0,0,3
109,97,50,"M",1,"R2","Thursday",30,"1",0,20,1,9,0
116,100,8,"M",4,"R2","Thursday",20,"2",2,17,1,0,0
117,100,37,"F",4,"R2","Thursday",64,"2",31,21,3,8,1
118,100,46,"F",4,"R2","Thursday",6,"6+",1,0,5,0,0
132,107,59,"F",3,"R2","Thursday",6,"3",0,0,3,2,1
133,107,68,"M",4,"R2","Thursday",11,"1",0,0,0,11,0
246,171,62,"F",1,"R2","Thursday",5,"2",0,0,3,2,0
265,183,57,"F",2,"R2","Thursday",3,"2",0,0,2,1,0
277,190,14,"F",4,"R2","Thursday",14,"3",0,13,0,1,0
281,192,12,"F",1,"R2","Thursday",22,"2",0,16,2,4,0
282,192,41,"M",4,"R2","Thursday",9,"1",0,1,4,4,0
283,192,42,"F",2,"R2","Thursday",4,"0",0,1,0,3,0
291,195,69,"F",1,"R2","Thursday",7,"2",0,0,0,6,1
292,195,74,"M",1,"R2","Thursday",3,"1",0,0,0,2,1
333,217,23,"M",2,"R2","Thursday",14,"3",0,0,11,3,0
334,217,58,"F",3,"R2","Thursday",31,"2",0,26,1,4,0
406,266,38,"M",1,"R2","Thursday",19,"4",0,1,9,8,1
459,300,47,"F",3,"R2","Thursday",11,"3",0,1,6,4,0
460,300,52,"M",3,"R2","Thursday",4,"3",0,0,0,3,1
528,348,32,"F",1,"R2","Thursday",1,"0",0,0,1,0,0
553,365,70,"M",4,"R2","Thursday",5,"2",0,0,0,5,0
561,371,75,"F",2,"R2","Thursday",0,NA,0,0,0,0,0
152,116,54,"F",2,"R2","Friday",7,"2",0,0,1,5,1
790,554,9,"M",3,"R2","Friday",7,"3",0,4,0,2,1
791,554,50,"F",3,"R2","Friday",15,"6+",0,2,3,9,1
318,210,52,"F",1,"R2","Friday",22,"4",0,1,9,8,4
378,247,51,"F",1,"R2","Friday",19,"1",0,1,4,14,0
431,283,75,"M",3,"R2","Friday",2,"2",0,0,0,0,2
485,320,12,"M",4,"R2","Friday",6,"2",0,4,0,2,0
486,320,50,"F",1,"R2","Friday",7,"3",0,1,2,4,0
638,435,67,"F",4,"R2","Friday",1,"0",0,0,1,0,0
639,436,64,"F",3,"R2","Friday",2,"0",0,0,0,2,0
657,448,62,"F",3,"R2","Friday",8,"2",1,0,4,2,1
673,459,50,"F",2,"R2","Friday",10,"3",0,1,1,8,0
83,83,64,"F",4,"R2","Saturday",7,"2",0,0,0,6,1
1081,99,16,"M",4,"R2","Saturday",2,"0",0,0,1,1,0
112,99,22,"M",2,"R2","Saturday",10,"1",0,4,5,1,0
169,125,52,"F",4,"R2","Saturday",8,"2",0,0,1,7,0
1082,125,60,"M",3,"R2","Saturday",10,"3",0,0,1,9,0
323,213,50,"F",4,"R2","Saturday",9,"3",0,2,3,3,1
393,258,11,"M",2,"R2","Saturday",4,"0",0,0,2,1,1
394,258,62,"F",3,"R2","Saturday",3,"0",0,1,1,0,1
413,270,55,"M",1,"R2","Saturday",8,"2",0,0,6,2,0
424,278,59,"F",4,"R2","Saturday",13,"4",0,0,8,5,0
503,331,64,"M",2,"R2","Saturday",3,"3",0,0,0,2,1
1083,331,72,"M",1,"R2","Saturday",1,"0",0,0,0,1,0
507,334,61,"F",4,"R2","Saturday",13,"1",0,0,4,8,1
509,335,56,"F",3,"R2","Saturday",11,"1",0,0,10,1,0
548,361,51,"F",2,"R2","Saturday",6,"0",0,0,4,2,0
595,400,65,"M",1,"R2","Saturday",7,"2",0,0,0,5,2
629,426,66,"F",3,"R2","Saturday",7,"1",1,0,4,2,0
702,479,51,"F",2,"R2","Saturday",3,"0",0,0,0,2,1
135,108,55,"M",3,"R2","Sunday",4,"5",0,0,2,2,0
866,121,22,"M",3,"R2","Sunday",3,"0",0,0,2,1,0
161,121,29,"F",4,"R2","Sunday",8,"5",0,0,5,3,0
867,121,63,"F",1,"R2","Sunday",5,"2",0,0,4,1,0
253,176,33,"F",4,"R2","Sunday",5,"1",1,2,0,1,1
270,185,31,"F",4,"R2","Sunday",10,"3",0,0,7,3,0
1084,185,63,"F",2,"R2","Sunday",3,"1",0,0,2,1,0
355,233,27,"M",2,"R2","Sunday",0,NA,0,0,0,0,0
1085,249,40,"F",3,"R2","Sunday",2,"1",0,0,2,0,0
387,253,65,"F",1,"R2","Sunday",3,"3",0,0,2,0,1
467,307,29,"M",1,"R2","Sunday",3,"0",0,0,2,1,0
1086,310,19,"M",3,"R2","Sunday",3,"1",0,0,1,2,0
471,310,60,"F",3,"R2","Sunday",8,"1",0,1,3,4,0
472,311,14,"M",1,"R2","Sunday",3,"1",0,1,1,1,0
495,326,58,"F",3,"R2","Sunday",5,"2",0,0,0,4,1
531,350,52,"M",1,"R2","Sunday",2,"0",0,0,1,0,1
616,418,63,"M",1,"R2","Sunday",10,"1",0,0,2,8,0
693,473,36,"F",3,"R2","Sunday",7,"1",0,2,2,2,1
1087,111,18,"F",1,"R2","Monday",21,"5",0,19,2,0,0
142,111,23,"F",1,"R2","Monday",11,"3",0,1,9,1,0
143,111,25,"M",4,"R2","Monday",10,"2",0,4,5,1,0
144,111,51,"F",2,"R2","Monday",203,"1",0,1,52,100,50
160,120,59,"F",4,"R2","Monday",7,"5",0,0,7,0,0
364,238,49,"F",2,"R2","Monday",5,"2",0,1,1,3,0
402,264,23,"F",2,"R2","Monday",15,"1",0,0,13,2,0
420,275,45,"M",3,"R2","Monday",13,"4",0,0,5,8,0
1088,573,31,"F",3,"R2","Monday",35,"2",1,0,18,16,0
475,312,42,"M",4,"R2","Monday",6,"2",0,1,3,2,0
517,340,22,"M",3,"R2","Monday",7,"2",0,0,5,2,0
518,340,44,"F",2,"R2","Monday",6,"4",0,0,2,2,2
520,341,29,"M",4,"R2","Monday",2,"0",0,0,0,2,0
527,347,65,"M",2,"R2","Monday",2,"1",1,0,0,0,1
563,373,40,"M",1,"R2","Monday",7,"1",1,0,1,3,2
576,382,59,"F",2,"R2","Monday",5,"1",1,0,3,0,1
1089,392,64,"F",4,"R2","Monday",1,"1",0,0,0,0,1
586,392,68,"M",3,"R2","Monday",1,"2",0,0,0,1,0
685,466,35,"F",2,"R2","Monday",5,"2",0,0,4,1,0
703,480,49,"F",3,"R2","Monday",8,"2",0,0,5,2,1
705,482,54,"F",4,"R2","Monday",3,"0",0,0,2,0,1
121,102,23,"F",2,"R2","Tuesday",15,"3",0,7,6,2,0
1090,102,80,"M",1,"R2","Tuesday",21,"3",0,0,2,19,0
122,102,52,"F",2,"R2","Tuesday",6,"3",0,0,3,3,0
162,122,53,"F",3,"R2","Tuesday",8,"1",0,0,6,2,0
172,127,57,"F",3,"R2","Tuesday",8,"3",0,0,5,3,0
173,128,68,"F",1,"R2","Tuesday",2,"0",0,0,1,0,1
177,131,57,"M",1,"R2","Tuesday",12,"4",1,0,7,4,0
207,146,45,"F",3,"R2","Tuesday",24,"6+",0,2,15,7,0
217,151,56,"F",2,"R2","Tuesday",84,"6+",0,60,13,11,0
218,151,60,"M",2,"R2","Tuesday",4,"1",0,0,3,1,0
224,156,37,"F",3,"R2","Tuesday",8,"1",0,0,4,3,1
231,161,64,"F",2,"R2","Tuesday",4,"2",1,0,1,1,1
1091,161,75,"M",1,"R2","Tuesday",2,"1",0,0,0,1,1
247,172,66,"M",2,"R2","Tuesday",2,"0",0,0,1,1,0
255,178,66,"F",4,"R2","Tuesday",3,"0",1,0,1,0,1
1092,178,75,"M",4,"R2","Tuesday",8,"2",1,0,4,2,1
1093,227,22,"F",4,"R2","Tuesday",10,"2",0,1,7,2,0
349,227,45,"F",2,"R2","Tuesday",4,"3",0,1,3,0,0
416,272,69,"F",2,"R2","Tuesday",8,"2",0,0,1,7,0
417,273,57,"F",2,"R2","Tuesday",9,"4",0,0,6,3,0
418,273,62,"M",4,"R2","Tuesday",6,"4",0,0,2,4,0
451,295,37,"M",2,"R2","Tuesday",6,"2",0,1,4,1,0
496,327,58,"F",3,"R2","Tuesday",40,"1",0,0,8,21,11
514,338,54,"F",2,"R2","Tuesday",6,"3",0,0,4,2,0
515,338,61,"M",2,"R2","Tuesday",7,"3",0,0,4,3,0
534,353,19,"M",4,"R2","Tuesday",10,"1",0,8,1,1,0
535,353,43,"F",1,"R2","Tuesday",9,"3",0,0,5,4,0
1094,401,23,"F",4,"R2","Tuesday",9,"3",0,0,8,1,0
596,401,26,"F",1,"R2","Tuesday",4,"1",0,0,2,2,0
597,401,56,"F",3,"R2","Tuesday",16,"6+",0,8,3,5,0
1095,576,33,"F",4,"R2","Tuesday",15,"1",0,1,6,8,0
821,576,33,"M",4,"R2","Tuesday",6,"2",0,2,2,2,0
612,414,58,"M",1,"R2","Tuesday",6,"2",0,0,2,4,0
624,423,12,"M",2,"R2","Tuesday",20,"4",0,18,0,2,0
625,423,54,"F",4,"R2","Tuesday",9,"4",0,1,1,7,0
1096,423,55,"M",1,"R2","Tuesday",20,"3",0,1,3,16,0
650,444,48,"M",1,"R2","Tuesday",5,"2",1,0,1,3,0
654,446,52,"M",1,"R2","Tuesday",9,"1",0,0,0,7,2
1097,84,33,"F",3,"R2","Wednesday",25,"3",0,0,14,11,0
864,84,64,"F",2,"R2","Wednesday",26,"1",0,0,2,21,3
1098,91,NA,"F",3,"R2","Wednesday",2,"0",0,0,2,0,0
865,91,61,"M",1,"R2","Wednesday",23,"3",0,0,11,10,2
1099,191,62,"M",2,"R2","Wednesday",4,"1",0,0,0,4,0
285,193,59,"F",4,"R2","Wednesday",11,"2",0,0,5,6,0
807,563,48,"F",2,"R2","Wednesday",27,"6+",0,0,4,12,11
339,221,25,"M",3,"R2","Wednesday",3,"1",0,0,3,0,0
398,261,65,"M",3,"R2","Wednesday",3,"2",0,0,0,0,3
1100,287,20,"M",4,"R2","Wednesday",26,"4",0,0,26,0,0
